hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
42, 3000.00000, 24.3836, 4.85241, 23.4182, 9.05734, 20.2593, 6.11885, 0, 0
43, 0.00000, 24.5803, 4.90158, 23.6002, 9.12408, 20.4335, 6.16396, 0, 0
43, 600.00000, 24.2517, 4.81959, 23.2963, 9.01295, 20.1425, 6.08892, 0, 0
43, 1200.00000, 23.8889, 4.72998, 22.9609, 8.8912, 19.8212, 6.0069, 0, 0
43, 1800.00000, 22.7923, 4.47713, 21.9254, 8.52574, 18.8526, 5.75065, 0, 0
43, 2400.00000, 22.0601, 4.3116, 21.2341, 8.28579, 18.2053, 5.58334, 0, 0
43, 3000.00000, 21.5937, 4.20896, 20.7933, 8.13336, 17.7949, 5.47801, 0, 0
44, 0.00000, 21.3957, 4.16622, 20.6031, 8.06928, 17.6193, 5.4313, 0, 0
44, 600.00000, 21.3281, 4.15251, 20.5379, 8.04731, 17.56, 5.41554, 0, 0
44, 1200.00000, 21.2611, 4.13854, 20.474, 8.0254, 17.5014, 5.40033, 0, 0
44, 1800.00000, 21.1941, 4.12431, 20.4103, 8.00369, 17.4426, 5.38524, 0, 0
44, 2400.00000, 21.1604, 4.11709, 20.3783, 7.99291, 17.4128, 5.37768, 0, 0
44, 3000.00000, 20.9284, 4.06792, 20.1561, 7.91807, 17.2079, 5.3242, 0, 0
45, 0.00000, 20.6616, 4.01233, 19.9006, 7.83231, 16.9729, 5.2633, 0, 0
